cve_id,fix_commit,yaml_file,repository_url
CVE-2020-13934,172977f04a5215128f1e278a688983dcd230f39,ProjectKB\statements\CVE-2020-13934\statement.yaml,https://github.com/apache/tomcat
CVE-2020-13934,923d834500802a61779318911d7898bd85fc950,ProjectKB\statements\CVE-2020-13934\statement.yaml,https://github.com/apache/tomcat
CVE-2020-13935,12d715676038efbf9c728af10163f8277fc019d,ProjectKB\statements\CVE-2020-13935\statement.yaml,https://github.com/apache/tomcat
CVE-2020-13935,1c1c77b0efb667cea80b532440b44cea1dc427c,ProjectKB\statements\CVE-2020-13935\statement.yaml,https://github.com/apache/tomcat
CVE-2020-13935,40fa74c74822711ab878079d0a69f7357926723,ProjectKB\statements\CVE-2020-13935\statement.yaml,https://github.com/apache/tomcat
CVE-2020-13940,7f0416ee8bdcee95e28409cc6fae9c1394c2a798,ProjectKB\statements\CVE-2020-13940\statement.yaml,https://github.com/apache/nifi
CVE-2020-13941,49a3f0a11d41f7124b893a08dc9e67594c32e2e,ProjectKB\statements\CVE-2020-13941\statement.yaml,https://github.com/apache/lucene-solr
CVE-2020-13941,b52bf267c7aa528b282d09c637344650f903495,ProjectKB\statements\CVE-2020-13941\statement.yaml,https://github.com/apache/lucene-solr
CVE-2020-13946,63f4da90c3c51d230c535265786dbc7a33c1ace9,ProjectKB\statements\CVE-2020-13946\statement.yaml,https://github.com/apache/cassandra
CVE-2020-13946,d28f769fc6dae2ddbc150723a4069c765fc80c08,ProjectKB\statements\CVE-2020-13946\statement.yaml,https://github.com/apache/cassandra
CVE-2020-13954,dc6229b0272d39065393677ee607be9ca3b0d216,ProjectKB\statements\CVE-2020-13954\statement.yaml,https://github.com/apache/cxf
CVE-2020-13954,3c23fa3b3c24c328bbc6d71c509668cb10b0ea31,ProjectKB\statements\CVE-2020-13954\statement.yaml,https://github.com/apache/cxf
CVE-2020-13973,f3512bab078af3f5c533dacc2d410add8c0c1124,ProjectKB\statements\CVE-2020-13973\statement.yaml,https://github.com/OWASP/json-sanitizer
CVE-2020-14019,b23d061ee0fa7924d2cdce6194c313b9ee06c468,ProjectKB\statements\CVE-2020-14019\statement.yaml,https://github.com/open-iscsi/rtslib-fb
CVE-2020-14019,dffcf83bead64e959505d64ad587768647caab3a,ProjectKB\statements\CVE-2020-14019\statement.yaml,https://github.com/open-iscsi/rtslib-fb
CVE-2020-14060,d1c67a0396e84c08d0558fbb843b5bd1f26e1921,ProjectKB\statements\CVE-2020-14060\statement.yaml,https://github.com/FasterXML/jackson-databind
CVE-2020-14061,5c8642aeae9c756b438ab7637c90ef3c77966e6e,ProjectKB\statements\CVE-2020-14061\statement.yaml,https://github.com/FasterXML/jackson-databind
CVE-2020-14062,840eae2ca81c597a0010b2126f32dce17d384b70,ProjectKB\statements\CVE-2020-14062\statement.yaml,https://github.com/FasterXML/jackson-databind
CVE-2020-14195,f6d9c664f6d481703138319f6a0f1fdbddb3a259,ProjectKB\statements\CVE-2020-14195\statement.yaml,https://github.com/FasterXML/jackson-databind
CVE-2020-14365,1d043e082b3b1f3ad35c803137f5d3bcbae92275,ProjectKB\statements\CVE-2020-14365\statement.yaml,https://github.com/ansible/ansible
CVE-2020-15105,454fd9842fa6e8bb772dbf0943976bc8e3335359,ProjectKB\statements\CVE-2020-15105\statement.yaml,https://github.com/Bouke/django-two-factor-auth
CVE-2020-15110,3dfe870a7f5e98e2e398b01996ca6b8eff4bb1d0,ProjectKB\statements\CVE-2020-15110\statement.yaml,https://github.com/jupyterhub/kubespawner
CVE-2020-15120,7fd18288888b7cc913382da2f3d1020815d74cdf,ProjectKB\statements\CVE-2020-15120\statement.yaml,https://github.com/spiral-project/ihatemoney
CVE-2020-15120,8d77cf5d5646e1d2d8ded13f0660638f57e98471,ProjectKB\statements\CVE-2020-15120\statement.yaml,https://github.com/spiral-project/ihatemoney
CVE-2020-15141,3e7dfae5d0b3685abf1ede1bc6c086a116ac4746,ProjectKB\statements\CVE-2020-15141\statement.yaml,https://github.com/triaxtec/openapi-python-client
CVE-2020-15142,f7a56aae32cba823a77a84a1f10400799b19c19a,ProjectKB\statements\CVE-2020-15142\statement.yaml,https://github.com/triaxtec/openapi-python-client
CVE-2020-15147,bf581b9f9711f89aafe838815e719a54b6b45924,ProjectKB\statements\CVE-2020-15147\statement.yaml,https://github.com/Cog-Creators/Red-DiscordBot
CVE-2020-15163,3d342e648fbacdf43a13d7ba8886aaaf07334af7,ProjectKB\statements\CVE-2020-15163\statement.yaml,https://github.com/theupdateframework/tuf
CVE-2020-15239,82056540191e89f0cd697c81f57714c00962ed75,ProjectKB\statements\CVE-2020-15239\statement.yaml,https://github.com/horazont/xmpp-http-upload
CVE-2020-15250,610155b8c22138329f0723eec22521627dbc52ae,ProjectKB\statements\CVE-2020-15250\statement.yaml,https://github.com/junit-team/junit4
CVE-2020-15251,fd5da591fed6395702cfc9b74bc95c4dd6997e78,ProjectKB\statements\CVE-2020-15251\statement.yaml,https://github.com/MirahezeBots/sopel-channelmgnt
CVE-2020-15251,221ddd4852f0acbb9c98824332f7a499d2a3a362,ProjectKB\statements\CVE-2020-15251\statement.yaml,https://github.com/MirahezeBots/sopel-channelmgnt
CVE-2020-15251,4b7dff2bcf68bb614f9449f6d151f06af5aa1d76,ProjectKB\statements\CVE-2020-15251\statement.yaml,https://github.com/MirahezeBots/sopel-channelmgnt
CVE-2020-15251,6554cc81101d6892f7dc70012b784ddc7491bb8e,ProjectKB\statements\CVE-2020-15251\statement.yaml,https://github.com/MirahezeBots/sopel-channelmgnt
CVE-2020-15271,72fe36b784b234548d49dae60b840c37f0eb8d84,ProjectKB\statements\CVE-2020-15271\statement.yaml,https://github.com/d0c-s4vage/lookatme
CVE-2020-15275,64e16037a60646a4d834f0203c75481b9c3fa74c,ProjectKB\statements\CVE-2020-15275\statement.yaml,https://github.com/moinwiki/moin-1.9
CVE-2020-15278,726bfd38adfdfaef760412a68e01447b470f438b,ProjectKB\statements\CVE-2020-15278\statement.yaml,https://github.com/Cog-Creators/Red-DiscordBot
CVE-2020-15720,50c23ec146ee9abf28c9de87a5f7787d495f0b72,ProjectKB\statements\CVE-2020-15720\statement.yaml,https://github.com/dogtagpki/pki
CVE-2020-1695,acf15f2a8067f7e4cf5838342cecfa0b78a174fb,ProjectKB\statements\CVE-2020-1695\statement.yaml,https://github.com/resteasy/Resteasy
CVE-2020-1697,75457496325c4ae8963199a318d834d6a5eaad16,ProjectKB\statements\CVE-2020-1697\statement.yaml,https://github.com/keycloak/keycloak
CVE-2020-1698,62c9e1577618470832ede22dcedd46cba15b1836,ProjectKB\statements\CVE-2020-1698\statement.yaml,https://github.com/keycloak/keycloak
CVE-2020-1727,2f489a41ebd06eb14197f8a66afae86ac1397f42,ProjectKB\statements\CVE-2020-1727\statement.yaml,https://github.com/keycloak/keycloak
CVE-2020-1729,fb0def6f61c09a2a80c9145e4ec6521225cd0b99,ProjectKB\statements\CVE-2020-1729\statement.yaml,https://github.com/smallrye/smallrye-config
CVE-2020-1734,a02641c0202a643c9d70475789e3f0d8261ae2ee,ProjectKB\statements\CVE-2020-1734\statement.yaml,https://github.com/ansible/ansible
CVE-2020-1744,9474dd6208c01166b6144bea3ac2b6fe9f5c30f4,ProjectKB\statements\CVE-2020-1744\statement.yaml,https://github.com/keycloak/keycloak
CVE-2020-1745,e60e04f4e9bab49f406c8c57770c4a1bbbc37067,ProjectKB\statements\CVE-2020-1745\statement.yaml,https://github.com/undertow-io/undertow
CVE-2020-1747,5080ba513377b6355a0502104846ee804656f1e0,ProjectKB\statements\CVE-2020-1747\statement.yaml,https://github.com/yaml/pyyaml
CVE-2020-17490,86e18b91ae006de381f71b972f1daab9239bad3c,ProjectKB\statements\CVE-2020-17490\statement.yaml,https://github.com/saltstack/salt
CVE-2020-1758,97b565469058cacac6d2559b2cff37effcca2cfd,ProjectKB\statements\CVE-2020-1758\statement.yaml,https://github.com/keycloak/keycloak
CVE-2020-1925,9f9aebde557b791f275d6156d8bec12ac334425d,ProjectKB\statements\CVE-2020-1925\statement.yaml,https://github.com/apache/olingo-odata4
CVE-2020-1928,34f2a592df8996b5f9e65039a35ecd8c31417fbd,ProjectKB\statements\CVE-2020-1928\statement.yaml,https://github.com/apache/nifi
CVE-2020-1929,a7dd23d95d2d214b4110781b5a28802bd43b834b,ProjectKB\statements\CVE-2020-1929\statement.yaml,https://github.com/apache/beam
CVE-2020-1933,34f2a592df8996b5f9e65039a35ecd8c31417fbd,ProjectKB\statements\CVE-2020-1933\statement.yaml,https://github.com/apache/nifi
CVE-2020-1935,8fbe2e,ProjectKB\statements\CVE-2020-1935\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1935,702bf1,ProjectKB\statements\CVE-2020-1935\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1935,8bfb0f,ProjectKB\statements\CVE-2020-1935\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1937,1f9f44ceb818b46518176e81c6dea5a0d12750c,ProjectKB\statements\CVE-2020-1937\statement.yaml,https://github.com/apache/kylin
CVE-2020-1937,e373c64c96a54a7abfe4bccb82e8feb60db0474,ProjectKB\statements\CVE-2020-1937\statement.yaml,https://github.com/apache/kylin
CVE-2020-1938,0d633e,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,40d5d9,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,b96283,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,69c560,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,64159a,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,03c436,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,64fa5b,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,7a1406,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1938,0e8a50,ProjectKB\statements\CVE-2020-1938\statement.yaml,https://github.com/apache/tomcat
CVE-2020-1942,95746d346cddbd6134c4b28fdc39d5813a626f97,ProjectKB\statements\CVE-2020-1942\statement.yaml,https://github.com/apache/nifi
CVE-2020-1942,d7c29f46378379fb596e4d1e59d1a3c41063db5b,ProjectKB\statements\CVE-2020-1942\statement.yaml,https://github.com/apache/nifi
CVE-2020-1945,9c1f4d905da59bf446570ac28df5b68a37281f35,ProjectKB\statements\CVE-2020-1945\statement.yaml,https://github.com/apache/ant
CVE-2020-1950,750d7790c7d8ba766f2794fac79521d5870eadf,ProjectKB\statements\CVE-2020-1950\statement.yaml,https://github.com/apache/tika
CVE-2020-1950,ab8a9ed830ec710a32e4ffdf4989aea3aaea92e,ProjectKB\statements\CVE-2020-1950\statement.yaml,https://github.com/apache/tika
CVE-2020-1952,75410799e57e97ad2b6af0b9a0073830611bb610,ProjectKB\statements\CVE-2020-1952\statement.yaml,https://github.com/apache/incubator-iotdb
CVE-2020-1953,add7375cf37fd316d4838c6c56b054fc293b4641,ProjectKB\statements\CVE-2020-1953\statement.yaml,https://github.com/apache/commons-configuration
CVE-2020-1954,98ec361acd390483005de12ca3b10cf49cbdcf8,ProjectKB\statements\CVE-2020-1954\statement.yaml,https://github.com/apache/cxf
CVE-2020-1954,1cf4fed546904a4a2560f53a2a2391d834b4026,ProjectKB\statements\CVE-2020-1954\statement.yaml,https://github.com/apache/cxf
CVE-2020-1954,8636c3760a97979f42e45080230a27b81df5d43,ProjectKB\statements\CVE-2020-1954\statement.yaml,https://github.com/apache/cxf
CVE-2020-1956,58fad56ac6aaa43c6bd8f962d7f2d84438664092,ProjectKB\statements\CVE-2020-1956\statement.yaml,https://github.com/apache/kylin
CVE-2020-1956,9cc3793ab2f2f0053c467a9b3f38cb7791cd436a,ProjectKB\statements\CVE-2020-1956\statement.yaml,https://github.com/apache/kylin
CVE-2020-1957,3708d7907016bf2fa12691dff6ff0def1249b8ce,ProjectKB\statements\CVE-2020-1957\statement.yaml,https://github.com/apache/shiro
CVE-2020-1957,c7c9c57d69a180dce679c5f26d4f6db64b250a7e,ProjectKB\statements\CVE-2020-1957\statement.yaml,https://github.com/apache/shiro
CVE-2020-1958,dbaabdd24710fef726c5730c609937706f456a44,ProjectKB\statements\CVE-2020-1958\statement.yaml,https://github.com/apache/druid
CVE-2020-1960,48ca13793825a8095578ddc5724da4178cd18c5,ProjectKB\statements\CVE-2020-1960\statement.yaml,https://github.com/apache/flink
CVE-2020-1960,5e0b7970a9aea74aba4ebffaa75c37e960799b9,ProjectKB\statements\CVE-2020-1960\statement.yaml,https://github.com/apache/flink
